Country,Year,Subject Area,Number of Documents
Switzerland,2021,PHAR,1
Switzerland,2021,PHYS,62
Switzerland,2021,PSYC,4
Switzerland,2021,SOCI,1
Taiwan,2021,AGRI,2
Taiwan,2021,ARTS,1
Taiwan,2021,BIOC,9
Taiwan,2021,BUSI,1
Taiwan,2021,CENG,6
Taiwan,2021,CHEM,6
Taiwan,2021,COMP,6
Taiwan,2021,DENT,1
Taiwan,2021,EART,3
Taiwan,2021,ENER,7
Taiwan,2021,ENGI,17
Taiwan,2021,ENVI,10
Taiwan,2021,HEAL,2
Taiwan,2021,IMMU,1
Taiwan,2021,MATE,10
Taiwan,2021,MATH,1
Taiwan,2021,MEDI,41
Taiwan,2021,PHAR,4
Taiwan,2021,PHYS,63
Taiwan,2021,PSYC,7
Taiwan,2021,SOCI,5
Thailand,2021,AGRI,199
Thailand,2021,ARTS,46
Thailand,2021,BIOC,229
Thailand,2021,BUSI,49
Thailand,2021,CENG,170
Thailand,2021,CHEM,238
Thailand,2021,COMP,164
Thailand,2021,DECI,6
Thailand,2021,DENT,47
Thailand,2021,EART,46
Thailand,2021,ECON,27
Thailand,2021,ENER,98
Thailand,2021,ENGI,179
Thailand,2021,ENVI,161
Thailand,2021,HEAL,28
Thailand,2021,IMMU,109
Thailand,2021,MATE,161
Thailand,2021,MATH,39
Thailand,2021,MEDI,824
Thailand,2021,MULT,237
Thailand,2021,NEUR,47
Thailand,2021,NURS,27
Thailand,2021,PHAR,73
Thailand,2021,PHYS,163
Thailand,2021,PSYC,30
Thailand,2021,SOCI,147
Thailand,2021,VETE,71
Trinidad and Tobago,2021,CHEM,2
Tunisia,2021,BIOC,1
Tunisia,2021,MATH,1
Tunisia,2021,MEDI,2
Turkey,2021,BIOC,4
Turkey,2021,BUSI,1
Turkey,2021,CHEM,3
Turkey,2021,ECON,1
Turkey,2021,ENGI,15
Turkey,2021,IMMU,1
Turkey,2021,MATH,1
Turkey,2021,MEDI,15
Turkey,2021,PHYS,58
Turkey,2021,PSYC,5
Uganda,2021,BIOC,2
Uganda,2021,IMMU,1
Uganda,2021,MEDI,2
Uganda,2021,MULT,2
Ukraine,2021,BIOC,1
Ukraine,2021,CHEM,2
Ukraine,2021,ENGI,14
Ukraine,2021,MEDI,3
Ukraine,2021,PHYS,58
Ukraine,2021,PSYC,1
United Arab Emirates,2021,BIOC,1
United Arab Emirates,2021,CENG,1
United Arab Emirates,2021,CHEM,2
United Arab Emirates,2021,ECON,1
United Arab Emirates,2021,ENVI,1
United Arab Emirates,2021,MATE,1
United Arab Emirates,2021,MATH,1
United Arab Emirates,2021,MEDI,6
United Arab Emirates,2021,PHAR,1
United Arab Emirates,2021,PSYC,3
United Kingdom,2021,AGRI,9
United Kingdom,2021,ARTS,1
United Kingdom,2021,BIOC,18
United Kingdom,2021,BUSI,2
United Kingdom,2021,CENG,3
United Kingdom,2021,CHEM,9
United Kingdom,2021,COMP,4
United Kingdom,2021,DENT,2
United Kingdom,2021,EART,3
United Kingdom,2021,ECON,3
United Kingdom,2021,ENER,3
United Kingdom,2021,ENGI,15
United Kingdom,2021,ENVI,10
United Kingdom,2021,HEAL,1
United Kingdom,2021,IMMU,10
United Kingdom,2021,MATE,3
United Kingdom,2021,MATH,4
United Kingdom,2021,MEDI,73
United Kingdom,2021,MULT,8
United Kingdom,2021,NEUR,9
